[2024-12-06T17:46:32.508+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2%  202M 14s
[2024-12-06T17:46:32.510+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2%  202M 13s
[2024-12-06T17:46:32.514+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 6.95M 13s
[2024-12-06T17:46:32.515+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2%  113M 12s
[2024-12-06T17:46:32.516+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3%  163M 12s
[2024-12-06T17:46:32.517+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  3% 62.4M 11s
[2024-12-06T17:46:32.518+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3% 34.5M 11s
[2024-12-06T17:46:32.520+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3% 53.6M 11s
[2024-12-06T17:46:32.524+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 73.2M 10s
[2024-12-06T17:46:32.525+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  3% 10.7M 10s
[2024-12-06T17:46:32.533+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3% 39.0M 10s
[2024-12-06T17:46:32.535+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3%  161M 9s
[2024-12-06T17:46:32.535+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  4% 38.6M 9s
[2024-12-06T17:46:32.538+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  4% 11.0M 9s
[2024-12-06T17:46:32.540+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  4% 24.7M 9s
[2024-12-06T17:46:32.543+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4% 20.4M 9s
[2024-12-06T17:46:32.545+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  4% 20.0M 8s
[2024-12-06T17:46:32.548+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  4% 30.0M 8s
[2024-12-06T17:46:32.549+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  4% 40.1M 8s
[2024-12-06T17:46:32.550+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  4% 26.9M 8s
[2024-12-06T17:46:32.552+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  4% 7.64M 8s
[2024-12-06T17:46:32.558+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  5% 18.0M 8s
[2024-12-06T17:46:32.566+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  5% 19.7M 7s
[2024-12-06T17:46:32.568+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  5% 15.1M 7s
[2024-12-06T17:46:32.569+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  5% 43.3M 7s
[2024-12-06T17:46:32.570+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  5% 42.3M 7s
[2024-12-06T17:46:32.572+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  5% 59.2M 7s
[2024-12-06T17:46:32.572+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  5% 23.0M 7s
[2024-12-06T17:46:32.573+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  5%  122M 7s
[2024-12-06T17:46:32.574+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  6% 65.3M 7s
[2024-12-06T17:46:32.575+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  6% 19.2M 6s
[2024-12-06T17:46:32.575+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  6%  127M 6s
[2024-12-06T17:46:32.576+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  6%  149M 6s
[2024-12-06T17:46:32.577+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  6% 4.68M 6s
[2024-12-06T17:46:32.580+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  6% 53.1M 6s
[2024-12-06T17:46:32.581+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  6% 30.3M 6s
[2024-12-06T17:46:32.581+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  6% 66.7M 6s
[2024-12-06T17:46:32.582+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  6%  113M 6s
[2024-12-06T17:46:32.582+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  7% 46.1M 6s
[2024-12-06T17:46:32.583+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  7% 64.9M 6s
[2024-12-06T17:46:32.585+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  7% 86.1M 6s
[2024-12-06T17:46:32.585+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  7%  229M 5s
[2024-12-06T17:46:32.587+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  7%  129M 5s
[2024-12-06T17:46:32.588+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  7%  285M 5s
[2024-12-06T17:46:32.597+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  7% 2.27M 5s
[2024-12-06T17:46:32.599+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  7% 20.7M 5s
