[2024-12-05T20:40:37.059+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.072+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.078+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.092+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-02-02 06:00:00+00:00
[2024-12-05T20:40:37.096+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=805) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-02-02T06:00:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmptkxdfnc7']
[2024-12-05T20:40:37.098+0000] {standard_task_runner.py:72} INFO - Started process 815 to run task
[2024-12-05T20:40:37.100+0000] {standard_task_runner.py:105} INFO - Job 35: Subtask wget
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-02-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.534+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 10%  180M 2s
[2024-12-05T20:40:37.538+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 10% 12.4M 2s
[2024-12-05T20:40:37.542+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 11% 11.6M 2s
[2024-12-05T20:40:37.544+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 11% 25.8M 2s
[2024-12-05T20:40:37.548+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 11% 14.0M 2s
[2024-12-05T20:40:37.549+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 11% 89.9M 2s
[2024-12-05T20:40:37.549+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 11%  137M 2s
[2024-12-05T20:40:37.575+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 12% 1.83M 2s
[2024-12-05T20:40:37.576+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 12% 46.3M 2s
[2024-12-05T20:40:37.577+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 12%  169M 2s
[2024-12-05T20:40:37.577+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 12%  297M 2s
[2024-12-05T20:40:37.582+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 13% 10.5M 2s
[2024-12-05T20:40:37.583+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 13% 38.8M 2s
