[2024-12-06T17:52:40.420+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 21.6M 9s
[2024-12-06T17:52:40.421+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2% 38.6M 9s
[2024-12-06T17:52:40.424+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 18.0M 9s
[2024-12-06T17:52:40.425+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2% 38.9M 9s
[2024-12-06T17:52:40.426+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2% 99.6M 8s
[2024-12-06T17:52:40.428+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 25.5M 8s
[2024-12-06T17:52:40.430+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 21.8M 8s
[2024-12-06T17:52:40.432+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2% 31.1M 8s
[2024-12-06T17:52:40.434+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  2% 23.4M 7s
[2024-12-06T17:52:40.436+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  3% 20.1M 7s
[2024-12-06T17:52:40.437+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3% 36.4M 7s
[2024-12-06T17:52:40.439+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3% 31.1M 7s
[2024-12-06T17:52:40.441+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3% 27.9M 7s
[2024-12-06T17:52:40.442+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  3% 38.2M 6s
[2024-12-06T17:52:40.444+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3% 28.3M 6s
[2024-12-06T17:52:40.445+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3% 39.4M 6s
[2024-12-06T17:52:40.447+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3% 32.0M 6s
[2024-12-06T17:52:40.448+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  3% 33.9M 6s
[2024-12-06T17:52:40.451+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  3% 17.2M 6s
[2024-12-06T17:52:40.459+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  4% 6.12M 6s
[2024-12-06T17:52:40.460+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  4% 60.2M 6s
[2024-12-06T17:52:40.461+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  4% 35.2M 6s
[2024-12-06T17:52:40.462+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  4% 36.1M 6s
[2024-12-06T17:52:40.464+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  4% 41.0M 5s
[2024-12-06T17:52:40.464+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  4% 66.1M 5s
[2024-12-06T17:52:40.466+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  4% 34.5M 5s
[2024-12-06T17:52:40.467+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  4% 31.7M 5s
[2024-12-06T17:52:40.468+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  4% 59.4M 5s
[2024-12-06T17:52:40.469+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  4% 48.5M 5s
[2024-12-06T17:52:40.470+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  4% 63.7M 5s
[2024-12-06T17:52:40.471+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  5% 46.1M 5s
[2024-12-06T17:52:40.472+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  5% 48.3M 5s
[2024-12-06T17:52:40.473+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  5% 51.0M 5s
[2024-12-06T17:52:40.474+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  5% 55.6M 5s
[2024-12-06T17:52:40.475+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  5% 36.4M 5s
[2024-12-06T17:52:40.476+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  5% 38.1M 4s
[2024-12-06T17:52:40.477+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  5% 52.7M 4s
[2024-12-06T17:52:40.478+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  5%  108M 4s
[2024-12-06T17:52:40.479+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  5% 38.5M 4s
[2024-12-06T17:52:40.480+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  5% 60.5M 4s
[2024-12-06T17:52:40.480+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  6% 88.3M 4s
[2024-12-06T17:52:40.482+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  6% 40.7M 4s
[2024-12-06T17:52:40.482+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  6% 61.9M 4s
[2024-12-06T17:52:40.483+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  6%  107M 4s
[2024-12-06T17:52:40.484+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  6% 48.5M 4s
[2024-12-06T17:52:40.485+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  6% 47.3M 4s
[2024-12-06T17:52:40.486+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  6% 64.0M 4s
[2024-12-06T17:52:40.486+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  6%  110M 4s
[2024-12-06T17:52:40.487+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  6% 42.3M 4s
[2024-12-06T17:52:40.488+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  6% 73.2M 4s
[2024-12-06T17:52:40.489+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  7% 59.6M 4s
[2024-12-06T17:52:40.489+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  7% 68.7M 4s
[2024-12-06T17:52:40.490+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  7% 80.9M 4s
[2024-12-06T17:52:40.491+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  7% 47.6M 4s
[2024-12-06T17:52:40.492+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... ..........  7% 53.5M 3s
[2024-12-06T17:52:40.493+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... ..........  7% 90.1M 3s
[2024-12-06T17:52:40.493+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... ..........  7%  137M 3s
[2024-12-06T17:52:40.494+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... ..........  7% 51.7M 3s
[2024-12-06T17:52:40.494+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... ..........  7% 77.7M 3s
[2024-12-06T17:52:40.499+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... ..........  7% 11.5M 3s
[2024-12-06T17:52:40.499+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... ..........  8%  123M 3s
[2024-12-06T17:52:40.500+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... ..........  8% 40.2M 3s
[2024-12-06T17:52:40.501+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... ..........  8%  209M 3s
[2024-12-06T17:52:40.501+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... ..........  8%  156M 3s
[2024-12-06T17:52:40.502+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... ..........  8% 33.6M 3s
[2024-12-06T17:52:40.503+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... ..........  8% 93.1M 3s
[2024-12-06T17:52:40.504+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... ..........  8%  194M 3s
[2024-12-06T17:52:40.504+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... ..........  8% 37.7M 3s
[2024-12-06T17:52:40.505+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... ..........  8%  259M 3s
[2024-12-06T17:52:40.505+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... ..........  8%  118M 3s
[2024-12-06T17:52:40.506+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... ..........  9% 57.6M 3s
[2024-12-06T17:52:40.506+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... ..........  9% 74.4M 3s
[2024-12-06T17:52:40.507+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... ..........  9% 99.5M 3s
[2024-12-06T17:52:40.508+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... ..........  9% 53.3M 3s
[2024-12-06T17:52:40.509+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... ..........  9% 73.0M 3s
[2024-12-06T17:52:40.509+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... ..........  9% 62.6M 3s
[2024-12-06T17:52:40.510+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... ..........  9%  101M 3s
[2024-12-06T17:52:40.511+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... ..........  9% 76.9M 3s
[2024-12-06T17:52:40.511+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... ..........  9% 74.5M 3s
[2024-12-06T17:52:40.513+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... ..........  9% 30.8M 3s
[2024-12-06T17:52:40.513+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... ..........  9%  212M 3s
[2024-12-06T17:52:40.514+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 10%  189M 3s
[2024-12-06T17:52:40.514+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 10% 59.9M 3s
[2024-12-06T17:52:40.515+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 10%  117M 3s
[2024-12-06T17:52:40.515+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 10%  122M 3s
