[2024-12-05T20:39:30.124+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  5% 10.2M 11s
[2024-12-05T20:39:30.125+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  5% 34.5M 11s
[2024-12-05T20:39:30.126+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  5% 49.9M 10s
[2024-12-05T20:39:30.136+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  5% 4.79M 10s
[2024-12-05T20:39:30.146+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  6% 4.83M 10s
[2024-12-05T20:39:30.156+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  6% 5.15M 9s
[2024-12-05T20:39:30.165+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  6% 5.26M 9s
[2024-12-05T20:39:30.177+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  6% 5.72M 9s
[2024-12-05T20:39:30.197+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  7% 2.11M 9s
[2024-12-05T20:39:30.204+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  7% 6.60M 9s
[2024-12-05T20:39:30.232+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  7% 1.77M 9s
[2024-12-05T20:39:30.236+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  7% 14.7M 9s
[2024-12-05T20:39:30.241+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  8% 11.2M 8s
[2024-12-05T20:39:30.244+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  8% 11.8M 8s
[2024-12-05T20:39:30.250+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  8% 9.46M 8s
[2024-12-05T20:39:30.254+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  8% 9.13M 8s
[2024-12-05T20:39:30.255+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  8%  184M 8s
[2024-12-05T20:39:30.283+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  9% 1.78M 8s
