[2024-12-06T17:52:50.647+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  1% 12.8M 19s
[2024-12-06T17:52:50.651+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  1% 12.9M 18s
[2024-12-06T17:52:50.658+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 6.30M 18s
[2024-12-06T17:52:50.663+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2% 9.70M 17s
[2024-12-06T17:52:50.668+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2% 9.82M 17s
[2024-12-06T17:52:50.673+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 13.3M 16s
[2024-12-06T17:52:50.675+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 16.7M 16s
[2024-12-06T17:52:50.677+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2% 28.2M 15s
[2024-12-06T17:52:50.679+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  2% 23.1M 15s
[2024-12-06T17:52:50.681+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  2% 28.5M 14s
[2024-12-06T17:52:50.683+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  2% 19.1M 14s
[2024-12-06T17:52:50.685+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  2% 26.8M 14s
[2024-12-06T17:52:50.687+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  2% 27.6M 13s
[2024-12-06T17:52:50.689+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  2% 20.7M 13s
[2024-12-06T17:52:50.691+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3% 29.2M 13s
[2024-12-06T17:52:50.693+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3% 23.2M 12s
[2024-12-06T17:52:50.694+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3% 32.2M 12s
[2024-12-06T17:52:50.696+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  3% 23.7M 12s
[2024-12-06T17:52:50.698+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  3% 33.3M 12s
[2024-12-06T17:52:50.700+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  3% 27.1M 11s
[2024-12-06T17:52:50.702+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  3% 42.1M 11s
[2024-12-06T17:52:50.703+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  3% 23.6M 11s
[2024-12-06T17:52:50.705+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  3% 26.9M 11s
[2024-12-06T17:52:50.706+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  3% 39.9M 10s
[2024-12-06T17:52:50.708+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  3% 26.6M 10s
[2024-12-06T17:52:50.709+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  3% 37.9M 10s
[2024-12-06T17:52:50.712+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  4% 20.5M 10s
[2024-12-06T17:52:50.713+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  4% 33.4M 10s
[2024-12-06T17:52:50.715+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  4% 19.6M 10s
[2024-12-06T17:52:50.718+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  4% 22.6M 9s
[2024-12-06T17:52:50.719+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  4% 37.0M 9s
[2024-12-06T17:52:50.721+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  4% 20.1M 9s
[2024-12-06T17:52:50.723+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  4% 27.2M 9s
