[2024-12-06T20:30:35.525+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:35.538+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:35.548+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:35.549+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:35.934+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-04-02 06:00:00+00:00
[2024-12-06T20:30:35.943+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4204) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:35.946+0000] {standard_task_runner.py:72} INFO - Started process 4209 to run task
[2024-12-06T20:30:35.947+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-04-02T06:00:00+00:00', '--job-id', '94', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpci5_04gr']
[2024-12-06T20:30:35.950+0000] {standard_task_runner.py:105} INFO - Job 94: Subtask wget
[2024-12-06T20:30:35.993+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:36.374+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 1.02M 5s
[2024-12-06T20:30:36.392+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 6.21M 5s
[2024-12-06T20:30:36.402+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 57.2M 4s
[2024-12-06T20:30:36.407+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3% 2.96M 5s
[2024-12-06T20:30:36.412+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3% 5.27M 5s
[2024-12-06T20:30:36.413+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 15.3M 5s
[2024-12-06T20:30:36.415+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4%  173M 4s
[2024-12-06T20:30:36.417+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4% 15.2M 4s
[2024-12-06T20:30:36.418+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  4% 68.3M 4s
[2024-12-06T20:30:36.424+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4% 73.8M 4s
[2024-12-06T20:30:36.427+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 81.7M 4s
[2024-12-06T20:30:36.430+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4% 42.6M 4s
[2024-12-06T20:30:36.431+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5% 76.0M 4s
[2024-12-06T20:30:36.431+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5% 14.6M 4s
[2024-12-06T20:30:36.432+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  5% 10.5M 4s
[2024-12-06T20:30:36.433+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  5% 13.5M 4s
[2024-12-06T20:30:36.438+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5% 61.0M 4s
[2024-12-06T20:30:36.439+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 99.3M 3s
[2024-12-06T20:30:36.443+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6%  199M 3s
[2024-12-06T20:30:36.445+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6% 52.8M 3s
[2024-12-06T20:30:36.447+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  6% 10.6M 3s
[2024-12-06T20:30:36.447+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  6% 76.3M 3s
[2024-12-06T20:30:36.448+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  6% 22.2M 3s
[2024-12-06T20:30:36.449+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  6%  144M 3s
[2024-12-06T20:30:36.450+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 65.8M 3s
[2024-12-06T20:30:36.451+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  7% 97.3M 3s
[2024-12-06T20:30:36.452+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  7% 87.6M 3s
[2024-12-06T20:30:36.453+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  7% 9.16M 3s
[2024-12-06T20:30:36.454+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  7% 57.0M 3s
[2024-12-06T20:30:36.456+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  7%  182M 3s
[2024-12-06T20:30:36.459+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  7% 23.4M 3s
[2024-12-06T20:30:36.460+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7%  135M 3s
[2024-12-06T20:30:36.460+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  8% 80.3M 3s
[2024-12-06T20:30:36.461+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  8%  136M 3s
[2024-12-06T20:30:36.462+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  8% 16.6M 3s
[2024-12-06T20:30:36.463+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  8%  190M 3s
[2024-12-06T20:30:36.464+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  8%  329M 3s
[2024-12-06T20:30:36.465+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  8% 87.1M 2s
[2024-12-06T20:30:36.470+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  9% 63.1M 2s
[2024-12-06T20:30:36.472+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  9% 60.9M 2s
[2024-12-06T20:30:36.475+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  9%  123M 2s
[2024-12-06T20:30:36.475+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  9%  221M 2s
[2024-12-06T20:30:36.480+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  9% 86.7M 2s
[2024-12-06T20:30:36.482+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  9% 65.8M 2s
[2024-12-06T20:30:36.483+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  9%  197M 2s
[2024-12-06T20:30:36.487+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 10% 52.4M 2s
[2024-12-06T20:30:36.488+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 10% 38.5M 2s
[2024-12-06T20:30:36.489+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 10% 51.0M 2s
[2024-12-06T20:30:36.489+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 10%  144M 2s
[2024-12-06T20:30:36.490+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 10% 94.3M 2s
[2024-12-06T20:30:36.494+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 10%  180M 2s
[2024-12-06T20:30:36.495+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 10%  158M 2s
[2024-12-06T20:30:36.499+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 11%  218M 2s
[2024-12-06T20:30:36.499+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 11%  225M 2s
[2024-12-06T20:30:36.500+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 11%  164M 2s
[2024-12-06T20:30:36.501+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 11%  187M 2s
[2024-12-06T20:30:36.503+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 11% 38.9M 2s
[2024-12-06T20:30:36.504+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 11%  187M 2s
[2024-12-06T20:30:36.505+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 12% 77.6M 2s
[2024-12-06T20:30:36.507+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 12%  127M 2s
[2024-12-06T20:30:36.512+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 12% 77.2M 2s
[2024-12-06T20:30:36.513+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 12% 27.0M 2s
[2024-12-06T20:30:36.513+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 12%  258M 2s
[2024-12-06T20:30:36.513+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 12% 4.13M 2s
[2024-12-06T20:30:36.513+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 12%  208M 2s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 13% 47.5M 2s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 13%  123M 2s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 13%  131M 2s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 13% 88.2M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 13%  190M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 13% 3.71M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 13% 51.5M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 14%  198M 2s
[2024-12-06T20:30:36.516+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 14%  102M 2s
[2024-12-06T20:30:36.516+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 14% 33.9M 2s
[2024-12-06T20:30:36.516+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 14%  112M 2s
[2024-12-06T20:30:36.516+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 14% 31.3M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 14%  148M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 15%  246M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 15%  254M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 15% 77.6M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 15%  124M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 15%  142M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 15% 60.7M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 15%  122M 2s
[2024-12-06T20:30:36.519+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 16%  256M 2s
[2024-12-06T20:30:36.519+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 16%  280M 2s
[2024-12-06T20:30:36.520+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 16%  259M 1s
[2024-12-06T20:30:36.520+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 16% 62.2M 1s
[2024-12-06T20:30:36.521+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 16% 76.2M 1s
[2024-12-06T20:30:36.522+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 16% 83.1M 1s
[2024-12-06T20:30:36.524+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 17% 61.2M 1s
[2024-12-06T20:30:36.524+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 17% 4.78M 1s
[2024-12-06T20:30:36.525+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 17%  260M 1s
[2024-12-06T20:30:36.525+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 17% 93.5M 1s
[2024-12-06T20:30:36.525+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 17%  178M 1s
[2024-12-06T20:30:36.525+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 17%  291M 1s
[2024-12-06T20:30:36.527+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 17% 9.23M 1s
[2024-12-06T20:30:36.527+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 18%  227M 1s
[2024-12-06T20:30:36.531+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 18% 11.4M 1s
[2024-12-06T20:30:36.532+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 18% 73.5M 1s
[2024-12-06T20:30:36.533+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 18% 47.9M 1s
[2024-12-06T20:30:36.534+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 18% 60.8M 1s
[2024-12-06T20:30:36.535+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 18% 64.6M 1s
[2024-12-06T20:30:36.536+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 18% 94.8M 1s
