[2024-12-06T17:46:20.894+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:20.948+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:20.980+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:20.983+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:20.996+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-04-02 06:00:00+00:00
[2024-12-06T17:46:21.001+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2149) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:21.002+0000] {standard_task_runner.py:72} INFO - Started process 2152 to run task
[2024-12-06T17:46:21.004+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-04-02T06:00:00+00:00', '--job-id', '40', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpmzwkfdrm']
[2024-12-06T17:46:21.006+0000] {standard_task_runner.py:105} INFO - Job 40: Subtask wget
[2024-12-06T17:46:21.063+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-04-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:22.110+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 4.23M 3s
[2024-12-06T17:46:22.127+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 3.07M 3s
[2024-12-06T17:46:22.156+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 17.0M 3s
[2024-12-06T17:46:22.173+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3%  102M 3s
[2024-12-06T17:46:22.175+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3%  108M 3s
[2024-12-06T17:46:22.176+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 49.1M 3s
[2024-12-06T17:46:22.182+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 43.0M 2s
[2024-12-06T17:46:22.182+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4%  102M 2s
[2024-12-06T17:46:22.183+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  4% 91.4M 2s
[2024-12-06T17:46:22.184+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4%  143M 2s
[2024-12-06T17:46:22.184+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 55.0M 2s
[2024-12-06T17:46:22.185+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4%  180M 2s
[2024-12-06T17:46:22.186+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5%  120M 2s
[2024-12-06T17:46:22.186+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5%  126M 2s
[2024-12-06T17:46:22.187+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  5% 58.8M 2s
[2024-12-06T17:46:22.187+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  5% 32.4M 2s
[2024-12-06T17:46:22.188+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5% 75.0M 2s
[2024-12-06T17:46:22.188+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 90.9M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6% 46.9M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6% 74.3M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  6% 87.9M 2s
[2024-12-06T17:46:22.189+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  6% 42.0M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  6% 50.3M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  6% 36.6M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 15.0M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  7%  107M 2s
[2024-12-06T17:46:22.190+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  7% 40.8M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  7% 55.7M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  7% 56.2M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  7% 60.2M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  7% 44.9M 2s
[2024-12-06T17:46:22.191+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7% 50.3M 2s
[2024-12-06T17:46:22.192+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  8% 74.7M 1s
[2024-12-06T17:46:22.192+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  8%  165M 1s
[2024-12-06T17:46:22.192+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  8% 32.2M 1s
[2024-12-06T17:46:22.192+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  8% 55.9M 1s
[2024-12-06T17:46:22.192+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  8%  256M 1s
[2024-12-06T17:46:22.193+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  8%  151M 1s
[2024-12-06T17:46:22.193+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  9% 74.4M 1s
[2024-12-06T17:46:22.193+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  9%  142M 1s
[2024-12-06T17:46:22.193+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  9%  177M 1s
[2024-12-06T17:46:22.193+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  9%  200M 1s
[2024-12-06T17:46:22.194+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  9% 48.5M 1s
[2024-12-06T17:46:22.194+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  9% 65.5M 1s
[2024-12-06T17:46:22.194+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  9% 95.1M 1s
[2024-12-06T17:46:22.194+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 10% 64.9M 1s
[2024-12-06T17:46:22.195+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 10% 98.4M 1s
[2024-12-06T17:46:22.195+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 10% 68.2M 1s
[2024-12-06T17:46:22.195+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 10% 18.2M 1s
[2024-12-06T17:46:22.195+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 10% 99.6M 1s
[2024-12-06T17:46:22.195+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 10% 52.0M 1s
[2024-12-06T17:46:22.196+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 10%  106M 1s
[2024-12-06T17:46:22.196+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 11%  129M 1s
[2024-12-06T17:46:22.196+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 11%  171M 1s
[2024-12-06T17:46:22.197+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 11% 90.3M 1s
[2024-12-06T17:46:22.197+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 11% 86.0M 1s
[2024-12-06T17:46:22.197+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 11%  110M 1s
[2024-12-06T17:46:22.197+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 11% 57.3M 1s
[2024-12-06T17:46:22.198+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 12%  115M 1s
[2024-12-06T17:46:22.198+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 12% 56.3M 1s
[2024-12-06T17:46:22.198+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 12% 85.5M 1s
[2024-12-06T17:46:22.198+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 12%  140M 1s
[2024-12-06T17:46:22.199+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 12%  213M 1s
[2024-12-06T17:46:22.199+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 12%  209M 1s
[2024-12-06T17:46:22.199+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 12%  201M 1s
