[2024-12-05T20:39:28.798+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:39:28.815+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.824+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.824+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-05T20:39:28.838+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-04-02 06:00:00+00:00
[2024-12-05T20:39:28.844+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=752) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:39:28.846+0000] {standard_task_runner.py:72} INFO - Started process 757 to run task
[2024-12-05T20:39:28.846+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-04-02T06:00:00+00:00', '--job-id', '21', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpmawt41pn']
[2024-12-05T20:39:28.848+0000] {standard_task_runner.py:105} INFO - Job 21: Subtask wget
[2024-12-05T20:39:28.894+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:39:29.174+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3%  220M 2s
[2024-12-05T20:39:29.175+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 21.7M 2s
[2024-12-05T20:39:29.176+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3%  104M 2s
[2024-12-05T20:39:29.177+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3% 56.4M 2s
[2024-12-05T20:39:29.178+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3% 81.2M 2s
[2024-12-05T20:39:29.179+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4%  122M 2s
[2024-12-05T20:39:29.180+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 68.3M 2s
[2024-12-05T20:39:29.180+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4% 56.8M 2s
[2024-12-05T20:39:29.180+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  4% 26.6M 2s
[2024-12-05T20:39:29.182+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4% 42.0M 2s
[2024-12-05T20:39:29.183+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 49.5M 2s
[2024-12-05T20:39:29.213+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4% 1.59M 2s
[2024-12-05T20:39:29.214+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5% 69.2M 2s
[2024-12-05T20:39:29.215+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5% 73.4M 2s
[2024-12-05T20:39:29.218+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  5%  102M 2s
[2024-12-05T20:39:29.218+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  5%  282M 2s
[2024-12-05T20:39:29.220+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5%  149M 2s
[2024-12-05T20:39:29.221+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5%  134M 2s
[2024-12-05T20:39:29.223+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6%  156M 2s
[2024-12-05T20:39:29.223+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6%  191M 2s
[2024-12-05T20:39:29.224+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  6%  142M 2s
[2024-12-05T20:39:29.224+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  6%  206M 2s
[2024-12-05T20:39:29.224+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  6%  206M 2s
[2024-12-05T20:39:29.224+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  6%  192M 2s
[2024-12-05T20:39:29.225+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6%  275M 2s
[2024-12-05T20:39:29.225+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  7%  181M 2s
[2024-12-05T20:39:29.225+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  7%  182M 1s
[2024-12-05T20:39:29.225+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  7%  245M 1s
[2024-12-05T20:39:29.225+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  7%  297M 1s
[2024-12-05T20:39:29.226+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  7% 54.5M 1s
[2024-12-05T20:39:29.226+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  7%  121M 1s
[2024-12-05T20:39:29.226+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7%  175M 1s
[2024-12-05T20:39:29.226+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  8%  247M 1s
[2024-12-05T20:39:29.227+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  8%  123M 1s
[2024-12-05T20:39:29.227+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  8%  170M 1s
[2024-12-05T20:39:29.227+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  8%  151M 1s
[2024-12-05T20:39:29.227+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  8%  151M 1s
[2024-12-05T20:39:29.227+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  8%  188M 1s
[2024-12-05T20:39:29.228+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  9%  222M 1s
[2024-12-05T20:39:29.228+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  9%  236M 1s
[2024-12-05T20:39:29.228+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  9%  184M 1s
[2024-12-05T20:39:29.228+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  9%  188M 1s
[2024-12-05T20:39:29.229+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  9%  295M 1s
[2024-12-05T20:39:29.230+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  9% 8.50M 1s
[2024-12-05T20:39:29.232+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  9% 29.7M 1s
[2024-12-05T20:39:29.233+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 10% 50.9M 1s
[2024-12-05T20:39:29.233+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 10%  132M 1s
[2024-12-05T20:39:29.234+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 10% 62.5M 1s
[2024-12-05T20:39:29.234+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 10% 82.8M 1s
[2024-12-05T20:39:29.235+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 10% 39.7M 1s
[2024-12-05T20:39:29.257+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 10% 2.22M 1s
[2024-12-05T20:39:29.288+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 10% 1.55M 1s
[2024-12-05T20:39:29.289+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 11% 37.5M 1s
[2024-12-05T20:39:29.292+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 11% 21.6M 1s
[2024-12-05T20:39:29.295+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 11% 70.3M 1s
[2024-12-05T20:39:29.298+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 11% 74.6M 1s
[2024-12-05T20:39:29.299+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 11% 28.2M 1s
[2024-12-05T20:39:29.301+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 11% 46.7M 1s
[2024-12-05T20:39:29.301+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 12% 52.6M 1s
[2024-12-05T20:39:29.301+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 12%  137M 1s
[2024-12-05T20:39:29.302+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 12% 69.1M 1s
[2024-12-05T20:39:29.302+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 12%  122M 1s
[2024-12-05T20:39:29.302+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 12% 93.8M 1s
[2024-12-05T20:39:29.305+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 12% 66.5M 1s
[2024-12-05T20:39:29.306+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 12% 61.1M 1s
[2024-12-05T20:39:29.307+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 13%  137M 1s
[2024-12-05T20:39:29.308+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 13%  106M 1s
[2024-12-05T20:39:29.309+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 13%  215M 1s
[2024-12-05T20:39:29.310+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 13%  237M 1s
[2024-12-05T20:39:29.310+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 13% 48.2M 1s
[2024-12-05T20:39:29.312+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 13% 39.3M 1s
[2024-12-05T20:39:29.312+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 13%  221M 1s
[2024-12-05T20:39:29.313+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 14%  230M 1s
[2024-12-05T20:39:29.316+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 14%  147M 1s
[2024-12-05T20:39:29.317+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 14%  200M 1s
[2024-12-05T20:39:29.317+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 14%  204M 1s
[2024-12-05T20:39:29.318+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 14%  117M 1s
[2024-12-05T20:39:29.319+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 14%  175M 1s
[2024-12-05T20:39:29.319+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 15%  253M 1s
[2024-12-05T20:39:29.320+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 15%  231M 1s
[2024-12-05T20:39:29.320+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 15%  165M 1s
[2024-12-05T20:39:29.320+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 15%  141M 1s
[2024-12-05T20:39:29.321+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 15%  159M 1s
[2024-12-05T20:39:29.321+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 15%  213M 1s
[2024-12-05T20:39:29.322+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 15%  159M 1s
[2024-12-05T20:39:29.322+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 16%  179M 1s
[2024-12-05T20:39:29.322+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 16%  153M 1s
[2024-12-05T20:39:29.322+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 16%  113M 1s
[2024-12-05T20:39:29.322+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 16%  237M 1s
[2024-12-05T20:39:29.323+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 16%  145M 1s
[2024-12-05T20:39:29.323+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 16% 63.3M 1s
[2024-12-05T20:39:29.323+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 17%  102M 1s
[2024-12-05T20:39:29.323+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 17% 38.3M 1s
[2024-12-05T20:39:29.323+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 17%  152M 1s
[2024-12-05T20:39:29.324+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 17% 67.5M 1s
[2024-12-05T20:39:29.324+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 17% 47.7M 1s
[2024-12-05T20:39:29.324+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 17%  111M 1s
[2024-12-05T20:39:29.324+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 17% 64.9M 1s
[2024-12-05T20:39:29.324+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 18%  107M 1s
[2024-12-05T20:39:29.325+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 18% 67.9M 1s
[2024-12-05T20:39:29.325+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 18%  144M 1s
[2024-12-05T20:39:29.330+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 18% 3.55M 1s
[2024-12-05T20:39:29.331+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 18% 39.9M 1s
[2024-12-05T20:39:29.332+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 18%  189M 1s
[2024-12-05T20:39:29.333+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 18% 77.7M 1s
[2024-12-05T20:39:29.333+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 19%  116M 1s
[2024-12-05T20:39:29.333+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 19%  319M 1s
[2024-12-05T20:39:29.334+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 19%  199M 1s
[2024-12-05T20:39:29.335+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 19%  131M 1s
[2024-12-05T20:39:29.335+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 19%  249M 1s
[2024-12-05T20:39:29.335+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 19% 97.7M 1s
[2024-12-05T20:39:29.336+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 20%  231M 1s
[2024-12-05T20:39:29.337+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 20%  189M 1s
[2024-12-05T20:39:29.337+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 20%  255M 1s
[2024-12-05T20:39:29.337+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 20%  308M 1s
[2024-12-05T20:39:29.338+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 20% 14.9M 1s
[2024-12-05T20:39:29.339+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 20% 71.2M 1s
[2024-12-05T20:39:29.339+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 20%  225M 1s
[2024-12-05T20:39:29.339+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 21%  334M 1s
[2024-12-05T20:39:29.358+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 21% 2.55M 1s
[2024-12-05T20:39:29.360+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 21%  142M 1s
[2024-12-05T20:39:29.360+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 21%  154M 1s
