[2024-12-05T20:40:37.060+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:40:37.073+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [queued]>
[2024-12-05T20:40:37.079+0000] {taskinstance.py:2866} INFO - Starting attempt 3 of 3
[2024-12-05T20:40:37.089+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-04-02 06:00:00+00:00
[2024-12-05T20:40:37.100+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-04-02T06:00:00+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpv6xtn7rs']
[2024-12-05T20:40:37.101+0000] {standard_task_runner.py:105} INFO - Job 37: Subtask wget
[2024-12-05T20:40:37.097+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=806) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:40:37.103+0000] {standard_task_runner.py:72} INFO - Started process 816 to run task
[2024-12-05T20:40:37.136+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-04-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:40:37.390+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 15.6M 3s
[2024-12-05T20:40:37.391+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3%  140M 3s
[2024-12-05T20:40:37.393+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 18.8M 2s
[2024-12-05T20:40:37.409+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3% 3.04M 3s
[2024-12-05T20:40:37.414+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3% 32.5M 3s
[2024-12-05T20:40:37.415+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 49.8M 3s
[2024-12-05T20:40:37.443+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 1.57M 3s
[2024-12-05T20:40:37.445+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4%  140M 3s
[2024-12-05T20:40:37.445+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  4%  200M 3s
[2024-12-05T20:40:37.446+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4%  145M 3s
[2024-12-05T20:40:37.452+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4%  197M 3s
[2024-12-05T20:40:37.452+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4%  270M 3s
[2024-12-05T20:40:37.455+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5%  279M 3s
[2024-12-05T20:40:37.455+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5%  176M 3s
[2024-12-05T20:40:37.456+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  5% 35.4M 3s
[2024-12-05T20:40:37.457+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  5%  130M 2s
[2024-12-05T20:40:37.459+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5% 69.3M 2s
[2024-12-05T20:40:37.460+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 37.4M 2s
[2024-12-05T20:40:37.461+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6% 49.6M 2s
[2024-12-05T20:40:37.462+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6% 90.2M 2s
[2024-12-05T20:40:37.462+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  6%  114M 2s
