[2024-12-05T20:39:28.856+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:39:28.872+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.879+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.880+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-05T20:39:28.891+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-05-02 06:00:00+00:00
[2024-12-05T20:39:28.904+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-05-02T06:00:00+00:00', '--job-id', '23', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpuk_ibje2']
[2024-12-05T20:39:28.900+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=750) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:39:28.905+0000] {standard_task_runner.py:105} INFO - Job 23: Subtask wget
[2024-12-05T20:39:28.905+0000] {standard_task_runner.py:72} INFO - Started process 762 to run task
[2024-12-05T20:39:28.939+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-05-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:39:29.176+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 23.2M 2s
[2024-12-05T20:39:29.177+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 84.7M 2s
[2024-12-05T20:39:29.179+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 28.8M 2s
[2024-12-05T20:39:29.180+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3% 44.2M 2s
[2024-12-05T20:39:29.180+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3%  249M 2s
[2024-12-05T20:39:29.181+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  3% 37.7M 2s
[2024-12-05T20:39:29.182+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3% 56.4M 2s
[2024-12-05T20:39:29.183+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3% 60.3M 2s
[2024-12-05T20:39:29.198+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 3.31M 2s
[2024-12-05T20:39:29.198+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4%  125M 2s
[2024-12-05T20:39:29.200+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 27.3M 2s
[2024-12-05T20:39:29.200+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4%  171M 2s
[2024-12-05T20:39:29.201+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  4%  321M 2s
[2024-12-05T20:39:29.202+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  4% 32.7M 2s
[2024-12-05T20:39:29.204+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  4% 28.3M 2s
[2024-12-05T20:39:29.204+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4%  131M 2s
[2024-12-05T20:39:29.205+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5%  157M 2s
[2024-12-05T20:39:29.205+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 55.9M 2s
[2024-12-05T20:39:29.206+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  5%  216M 2s
[2024-12-05T20:39:29.206+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  5%  106M 2s
[2024-12-05T20:39:29.207+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  5% 60.9M 2s
[2024-12-05T20:39:29.207+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  5%  240M 2s
[2024-12-05T20:39:29.207+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  5% 63.8M 2s
[2024-12-05T20:39:29.209+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  5% 42.5M 2s
[2024-12-05T20:39:29.210+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 40.6M 2s
[2024-12-05T20:39:29.210+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  6%  120M 2s
[2024-12-05T20:39:29.211+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  6%  141M 2s
[2024-12-05T20:39:29.212+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  6% 31.7M 2s
[2024-12-05T20:39:29.213+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  6%  199M 2s
[2024-12-05T20:39:29.213+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  6%  124M 1s
[2024-12-05T20:39:29.213+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  6% 69.6M 1s
[2024-12-05T20:39:29.214+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7% 97.7M 1s
[2024-12-05T20:39:29.215+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  7% 56.9M 1s
[2024-12-05T20:39:29.231+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  7% 3.10M 2s
[2024-12-05T20:39:29.245+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  7% 3.39M 2s
[2024-12-05T20:39:29.246+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  7% 93.6M 2s
[2024-12-05T20:39:29.247+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  7%  106M 2s
[2024-12-05T20:39:29.248+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  7% 91.7M 2s
[2024-12-05T20:39:29.252+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  7%  238M 2s
[2024-12-05T20:39:29.253+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  8%  126M 2s
[2024-12-05T20:39:29.253+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  8%  163M 2s
[2024-12-05T20:39:29.253+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  8%  214M 2s
[2024-12-05T20:39:29.254+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  8%  231M 2s
[2024-12-05T20:39:29.254+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  8%  133M 2s
[2024-12-05T20:39:29.254+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  8%  190M 1s
[2024-12-05T20:39:29.255+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  8%  267M 1s
[2024-12-05T20:39:29.255+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  8% 58.2M 1s
[2024-12-05T20:39:29.256+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  9%  115M 1s
[2024-12-05T20:39:29.256+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  9% 78.6M 1s
[2024-12-05T20:39:29.256+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  9%  244M 1s
[2024-12-05T20:39:29.257+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  9%  142M 1s
[2024-12-05T20:39:29.257+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  9%  191M 1s
[2024-12-05T20:39:29.257+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  9%  189M 1s
[2024-12-05T20:39:29.257+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  9%  251M 1s
[2024-12-05T20:39:29.258+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 10%  266M 1s
[2024-12-05T20:39:29.258+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 10%  244M 1s
