[2024-12-06T20:30:47.215+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:47.351+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:47.360+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:47.360+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:47.367+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-12-02 06:00:00+00:00
[2024-12-06T20:30:47.371+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4324) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:47.374+0000] {standard_task_runner.py:72} INFO - Started process 4329 to run task
[2024-12-06T20:30:47.374+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-12-02T06:00:00+00:00', '--job-id', '106', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpigcka4ph']
[2024-12-06T20:30:47.378+0000] {standard_task_runner.py:105} INFO - Job 106: Subtask wget
[2024-12-06T20:30:47.406+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-12-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:47.727+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2%  264M 5s
[2024-12-06T20:30:47.728+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2%  259M 5s
[2024-12-06T20:30:47.729+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2%  282M 5s
[2024-12-06T20:30:47.733+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2% 16.2M 4s
[2024-12-06T20:30:47.737+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2% 16.8M 4s
[2024-12-06T20:30:47.738+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2% 29.1M 4s
[2024-12-06T20:30:47.738+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  2% 12.7M 4s
[2024-12-06T20:30:47.739+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  2% 54.5M 4s
[2024-12-06T20:30:47.740+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3%  117M 4s
[2024-12-06T20:30:47.741+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  3% 27.0M 4s
[2024-12-06T20:30:47.755+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3% 4.76M 4s
[2024-12-06T20:30:47.756+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3% 8.99M 4s
[2024-12-06T20:30:47.757+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3% 41.8M 4s
[2024-12-06T20:30:47.757+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  3% 88.4M 4s
[2024-12-06T20:30:47.758+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3% 19.8M 4s
[2024-12-06T20:30:47.760+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  3% 15.5M 4s
[2024-12-06T20:30:47.763+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  3% 16.6M 4s
[2024-12-06T20:30:47.764+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  4% 24.9M 4s
[2024-12-06T20:30:47.769+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  4% 26.6M 4s
[2024-12-06T20:30:47.770+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  4% 91.0M 4s
[2024-12-06T20:30:47.770+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  4%  260M 4s
[2024-12-06T20:30:47.772+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  4% 19.6M 4s
[2024-12-06T20:30:47.774+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  4% 69.3M 3s
[2024-12-06T20:30:47.775+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  4% 61.7M 3s
[2024-12-06T20:30:47.778+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  4%  225M 3s
[2024-12-06T20:30:47.779+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  4%  206M 3s
[2024-12-06T20:30:47.784+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  4% 33.5M 3s
