[2024-12-05T20:39:28.793+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-05T20:39:28.813+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.822+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [queued]>
[2024-12-05T20:39:28.823+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-05T20:39:28.836+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-03-02 06:00:00+00:00
[2024-12-05T20:39:28.841+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=749) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-05T20:39:28.842+0000] {standard_task_runner.py:72} INFO - Started process 756 to run task
[2024-12-05T20:39:28.842+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag', 'wget', 'scheduled__2021-03-02T06:00:00+00:00', '--job-id', '20', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmpjla8hq_z']
[2024-12-05T20:39:28.844+0000] {standard_task_runner.py:105} INFO - Job 20: Subtask wget
[2024-12-05T20:39:28.895+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag.wget scheduled__2021-03-02T06:00:00+00:00 [running]> on host cf87bc668ac5
[2024-12-05T20:39:29.580+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 25.4M 5s
[2024-12-05T20:39:29.582+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 24.9M 5s
[2024-12-05T20:39:29.583+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  4% 51.3M 4s
[2024-12-05T20:39:29.585+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  4% 47.6M 4s
[2024-12-05T20:39:29.588+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  4% 53.3M 4s
[2024-12-05T20:39:29.588+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 66.2M 4s
[2024-12-05T20:39:29.588+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 91.4M 4s
[2024-12-05T20:39:29.589+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4%  157M 4s
[2024-12-05T20:39:29.590+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  5%  169M 4s
[2024-12-05T20:39:29.590+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  5% 18.7M 3s
[2024-12-05T20:39:29.590+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  5% 56.5M 3s
[2024-12-05T20:39:29.591+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  5%  137M 3s
[2024-12-05T20:39:29.591+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5%  126M 3s
[2024-12-05T20:39:29.591+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5%  129M 3s
[2024-12-05T20:39:29.591+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  6% 57.1M 3s
[2024-12-05T20:39:29.592+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  6% 74.1M 3s
[2024-12-05T20:39:29.599+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  6% 3.92M 3s
[2024-12-05T20:39:29.602+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  6% 20.5M 3s
[2024-12-05T20:39:29.607+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6% 9.61M 3s
[2024-12-05T20:39:29.608+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6% 42.2M 3s
[2024-12-05T20:39:29.610+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  7% 49.6M 3s
[2024-12-05T20:39:29.614+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  7%  138M 3s
[2024-12-05T20:39:29.619+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  7%  178M 3s
[2024-12-05T20:39:29.621+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  7% 54.3M 3s
[2024-12-05T20:39:29.627+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  7% 43.5M 3s
[2024-12-05T20:39:29.629+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  8% 74.0M 3s
[2024-12-05T20:39:29.629+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  8% 32.5M 3s
[2024-12-05T20:39:29.629+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  8% 81.6M 2s
[2024-12-05T20:39:29.629+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  8% 71.5M 2s
[2024-12-05T20:39:29.630+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  8%  122M 2s
[2024-12-05T20:39:29.630+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  8% 16.3M 2s
[2024-12-05T20:39:29.630+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  9% 83.5M 2s
[2024-12-05T20:39:29.630+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  9% 15.6M 2s
[2024-12-05T20:39:29.631+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  9%  201M 2s
[2024-12-05T20:39:29.631+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  9% 30.5M 2s
[2024-12-05T20:39:29.631+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  9%  249M 2s
[2024-12-05T20:39:29.634+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  9% 5.30M 2s
[2024-12-05T20:39:29.639+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 10% 10.6M 2s
[2024-12-05T20:39:29.639+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 10%  132M 2s
[2024-12-05T20:39:29.640+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 10%  258M 2s
[2024-12-05T20:39:29.672+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 10% 1.45M 2s
[2024-12-05T20:39:29.673+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 10%  151M 2s
[2024-12-05T20:39:29.673+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 10%  247M 2s
[2024-12-05T20:39:29.673+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 11%  255M 2s
[2024-12-05T20:39:29.677+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 11% 14.0M 2s
[2024-12-05T20:39:29.680+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 11%  246M 2s
[2024-12-05T20:39:29.681+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 11%  211M 2s
[2024-12-05T20:39:29.681+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 11%  209M 2s
[2024-12-05T20:39:29.681+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 11% 72.3M 2s
[2024-12-05T20:39:29.681+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 12%  237M 2s
[2024-12-05T20:39:29.682+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 12%  210M 2s
[2024-12-05T20:39:29.682+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 12%  224M 2s
[2024-12-05T20:39:29.682+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 12%  213M 2s
[2024-12-05T20:39:29.682+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 12%  309M 2s
[2024-12-05T20:39:29.683+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 12%  246M 2s
[2024-12-05T20:39:29.683+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 13%  274M 2s
[2024-12-05T20:39:29.683+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 13%  248M 2s
[2024-12-05T20:39:29.683+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 13%  265M 2s
[2024-12-05T20:39:29.683+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 13%  222M 2s
[2024-12-05T20:39:29.686+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 13%  250M 2s
[2024-12-05T20:39:29.688+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 13%  111M 2s
[2024-12-05T20:39:29.689+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 14%  208M 2s
[2024-12-05T20:39:29.692+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 14%  288M 2s
[2024-12-05T20:39:29.695+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 14%  222M 2s
[2024-12-05T20:39:29.697+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 14%  294M 2s
[2024-12-05T20:39:29.699+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 14% 16.6M 2s
[2024-12-05T20:39:29.704+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 15% 78.0M 2s
[2024-12-05T20:39:29.705+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 15% 81.9M 2s
[2024-12-05T20:39:29.705+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 15% 30.9M 2s
[2024-12-05T20:39:29.705+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 15% 86.0M 2s
[2024-12-05T20:39:29.705+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 15% 59.2M 2s
[2024-12-05T20:39:29.705+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 15% 58.1M 2s
[2024-12-05T20:39:29.706+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 16% 33.5M 2s
[2024-12-05T20:39:29.706+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 16% 78.3M 2s
[2024-12-05T20:39:29.707+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 16%  215M 2s
[2024-12-05T20:39:29.707+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 16%  132M 2s
[2024-12-05T20:39:29.707+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 16%  133M 2s
[2024-12-05T20:39:29.707+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 16% 70.5M 1s
[2024-12-05T20:39:29.707+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 17% 93.6M 1s
[2024-12-05T20:39:29.707+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 17% 51.5M 1s
