[2024-12-05T22:55:20.230+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  3% 51.5M 9s
[2024-12-05T22:55:20.232+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 68.7M 9s
[2024-12-05T22:55:20.235+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  4% 46.0M 9s
[2024-12-05T22:55:20.236+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  4% 35.2M 8s
[2024-12-05T22:55:20.240+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  4% 95.9M 8s
[2024-12-05T22:55:20.270+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  4% 1.36M 8s
[2024-12-05T22:55:20.279+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  4% 28.4M 8s
[2024-12-05T22:55:20.282+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  4% 4.63M 8s
[2024-12-05T22:55:20.284+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  5% 24.0M 8s
[2024-12-05T22:55:20.290+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  5% 8.51M 8s
[2024-12-05T22:55:20.296+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  5% 19.1M 7s
[2024-12-05T22:55:20.297+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  5%  160M 7s
[2024-12-05T22:55:20.297+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  5% 20.2M 7s
[2024-12-05T22:55:20.300+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  5%  118M 7s
[2024-12-05T22:55:20.300+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  6% 76.3M 7s
[2024-12-05T22:55:20.301+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  6% 87.2M 6s
[2024-12-05T22:55:20.303+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  6%  174M 6s
[2024-12-05T22:55:20.303+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  6%  183M 6s
[2024-12-05T22:55:20.304+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  6% 24.9M 6s
[2024-12-05T22:55:20.304+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  6% 21.3M 6s
[2024-12-05T22:55:20.305+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  7% 31.0M 6s
[2024-12-05T22:55:20.305+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  7%  155M 6s
[2024-12-05T22:55:20.306+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  7% 92.6M 5s
[2024-12-05T22:55:20.306+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  7%  101M 5s
[2024-12-05T22:55:20.309+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  7% 60.6M 5s
[2024-12-05T22:55:20.311+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  8% 49.0M 5s
[2024-12-05T22:55:20.312+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  8% 86.0M 5s
[2024-12-05T22:55:20.312+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  8%  117M 5s
[2024-12-05T22:55:20.312+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  8% 86.4M 5s
[2024-12-05T22:55:20.312+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  8% 80.3M 5s
[2024-12-05T22:55:20.313+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  8% 66.4M 5s
[2024-12-05T22:55:20.314+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  9% 66.9M 4s
