[2024-12-06T17:46:09.744+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:09.758+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:09.764+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-02-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:09.765+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:09.772+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-02-02 06:00:00+00:00
[2024-12-06T17:46:09.779+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2089) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:09.783+0000] {standard_task_runner.py:72} INFO - Started process 2091 to run task
[2024-12-06T17:46:09.783+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-02-02T06:00:00+00:00', '--job-id', '35', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmppdqi9ub_']
[2024-12-06T17:46:09.792+0000] {standard_task_runner.py:105} INFO - Job 35: Subtask wget
[2024-12-06T17:46:09.822+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-02-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:10.713+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  5%  107M 1s
[2024-12-06T17:46:10.714+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  5% 80.6M 1s
[2024-12-06T17:46:10.717+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  5% 61.8M 1s
[2024-12-06T17:46:10.723+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  5% 43.7M 1s
[2024-12-06T17:46:10.726+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  6% 92.9M 1s
[2024-12-06T17:46:10.730+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  6% 67.2M 1s
[2024-12-06T17:46:10.730+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  6% 4.30M 1s
[2024-12-06T17:46:10.731+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  6%  147M 1s
[2024-12-06T17:46:10.733+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  7% 34.5M 1s
[2024-12-06T17:46:10.734+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  7% 59.6M 1s
[2024-12-06T17:46:10.742+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  7% 57.7M 1s
[2024-12-06T17:46:10.747+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  7% 72.0M 1s
[2024-12-06T17:46:10.760+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  7% 84.9M 1s
