[2024-12-06T20:30:25.385+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  5% 4.02M 9s
[2024-12-06T20:30:25.407+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  5% 4.77M 8s
[2024-12-06T20:30:25.425+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  5% 17.8M 8s
[2024-12-06T20:30:25.428+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  5% 2.04M 8s
[2024-12-06T20:30:25.432+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  6% 55.4M 8s
[2024-12-06T20:30:25.447+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  6%  130M 7s
[2024-12-06T20:30:25.458+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  6% 57.2M 7s
[2024-12-06T20:30:25.461+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  6% 66.2M 7s
[2024-12-06T20:30:25.463+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  7% 13.9M 7s
[2024-12-06T20:30:25.464+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  7% 40.9M 7s
[2024-12-06T20:30:25.465+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  7% 69.3M 6s
[2024-12-06T20:30:25.506+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  7% 86.1M 6s
[2024-12-06T20:30:25.513+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  8% 50.3M 6s
[2024-12-06T20:30:25.518+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  8% 85.6M 6s
[2024-12-06T20:30:25.520+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  8%  224M 6s
[2024-12-06T20:30:25.525+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  8% 3.46M 6s
[2024-12-06T20:30:25.528+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  8% 1.15M 6s
[2024-12-06T20:30:25.530+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  9% 1.19M 6s
[2024-12-06T20:30:25.531+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  9% 7.55M 6s
[2024-12-06T20:30:25.531+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  9% 38.2M 6s
[2024-12-06T20:30:25.532+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  9%  177M 6s
[2024-12-06T20:30:25.533+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... .......... 10% 16.7M 6s
[2024-12-06T20:30:25.533+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... .......... 10%  102M 5s
[2024-12-06T20:30:25.533+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... .......... 10% 9.59M 5s
[2024-12-06T20:30:25.534+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... .......... 10% 19.2M 5s
[2024-12-06T20:30:25.534+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... .......... 11% 13.7M 5s
[2024-12-06T20:30:25.534+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... .......... 11%  141M 5s
[2024-12-06T20:30:25.534+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... .......... 11% 18.1M 5s
[2024-12-06T20:30:25.535+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... .......... 11% 8.11M 5s
[2024-12-06T20:30:25.535+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... .......... 12%  147M 5s
[2024-12-06T20:30:25.535+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... .......... 12% 18.3M 5s
[2024-12-06T20:30:25.536+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... .......... 12% 18.5M 5s
[2024-12-06T20:30:25.536+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... .......... 12% 26.3M 4s
[2024-12-06T20:30:25.536+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... .......... 12% 63.8M 4s
[2024-12-06T20:30:25.536+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... .......... 13% 23.6M 4s
[2024-12-06T20:30:25.537+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... .......... 13% 42.0M 4s
[2024-12-06T20:30:25.537+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... .......... 13% 5.74M 4s
[2024-12-06T20:30:25.537+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... .......... 13% 6.85M 4s
[2024-12-06T20:30:25.538+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... .......... 14%  134M 4s
[2024-12-06T20:30:25.538+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... .......... 14% 49.8M 4s
[2024-12-06T20:30:25.540+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... .......... 14% 6.75M 4s
[2024-12-06T20:30:25.567+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... .......... 14% 9.90M 4s
[2024-12-06T20:30:25.577+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... .......... 15%  179M 4s
[2024-12-06T20:30:25.588+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... .......... 15% 58.5M 4s
[2024-12-06T20:30:25.593+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... .......... 15% 64.3M 4s
[2024-12-06T20:30:25.603+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... .......... 15%  117M 4s
[2024-12-06T20:30:25.609+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... .......... 16%  251M 4s
[2024-12-06T20:30:25.621+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... .......... 16% 6.98M 4s
[2024-12-06T20:30:25.628+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... .......... 16% 8.35M 4s
[2024-12-06T20:30:25.629+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... .......... 16% 7.91M 4s
[2024-12-06T20:30:25.638+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... .......... 16% 5.42M 4s
[2024-12-06T20:30:25.645+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... .......... 17% 10.1M 3s
[2024-12-06T20:30:25.659+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... .......... 17% 41.0M 3s
[2024-12-06T20:30:25.749+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... .......... 17%  175K 5s
[2024-12-06T20:30:25.789+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 17% 1.23M 5s
[2024-12-06T20:30:25.792+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 18%  274M 5s
[2024-12-06T20:30:25.794+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 18%  260M 5s
[2024-12-06T20:30:25.798+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 18%  271M 5s
[2024-12-06T20:30:25.799+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 18%  168M 5s
[2024-12-06T20:30:25.800+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 19% 19.9M 4s
