[2024-12-06T20:30:35.517+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T20:30:35.530+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:35.538+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [queued]>
[2024-12-06T20:30:35.539+0000] {taskinstance.py:2866} INFO - Starting attempt 2 of 2
[2024-12-06T20:30:35.549+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-05-02 06:00:00+00:00
[2024-12-06T20:30:35.562+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=4202) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T20:30:35.564+0000] {standard_task_runner.py:72} INFO - Started process 4207 to run task
[2024-12-06T20:30:35.565+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-05-02T06:00:00+00:00', '--job-id', '93', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmps1eo1ml5']
[2024-12-06T20:30:35.567+0000] {standard_task_runner.py:105} INFO - Job 93: Subtask wget
[2024-12-06T20:30:35.615+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-05-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T20:30:36.310+0000] {subprocess.py:106} INFO -    750K .......... .......... .......... .......... ..........  2% 30.3M 4s
[2024-12-06T20:30:36.312+0000] {subprocess.py:106} INFO -    800K .......... .......... .......... .......... ..........  2% 23.8M 4s
[2024-12-06T20:30:36.313+0000] {subprocess.py:106} INFO -    850K .......... .......... .......... .......... ..........  2% 43.1M 4s
[2024-12-06T20:30:36.315+0000] {subprocess.py:106} INFO -    900K .......... .......... .......... .......... ..........  2% 23.6M 4s
[2024-12-06T20:30:36.316+0000] {subprocess.py:106} INFO -    950K .......... .......... .......... .......... ..........  2% 49.4M 4s
[2024-12-06T20:30:36.319+0000] {subprocess.py:106} INFO -   1000K .......... .......... .......... .......... ..........  2% 18.3M 4s
[2024-12-06T20:30:36.326+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2% 10.8M 4s
[2024-12-06T20:30:36.347+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  3% 2.02M 4s
[2024-12-06T20:30:36.374+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  3% 1.85M 5s
[2024-12-06T20:30:36.398+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  3% 2.14M 5s
[2024-12-06T20:30:36.405+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  3% 7.38M 5s
[2024-12-06T20:30:36.412+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  3% 5.74M 5s
[2024-12-06T20:30:36.414+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3% 22.2M 5s
[2024-12-06T20:30:36.417+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3%  131M 5s
[2024-12-06T20:30:36.418+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3% 94.2M 5s
[2024-12-06T20:30:36.424+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  4% 51.1M 5s
[2024-12-06T20:30:36.427+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  4% 72.8M 5s
[2024-12-06T20:30:36.440+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  4% 2.12M 5s
[2024-12-06T20:30:36.445+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  4% 9.55M 5s
[2024-12-06T20:30:36.447+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  4% 21.9M 5s
[2024-12-06T20:30:36.450+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  4% 16.7M 5s
[2024-12-06T20:30:36.452+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4% 23.9M 5s
[2024-12-06T20:30:36.454+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  5% 85.1M 4s
[2024-12-06T20:30:36.456+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  5% 60.3M 4s
[2024-12-06T20:30:36.459+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  5% 67.2M 4s
[2024-12-06T20:30:36.469+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  5% 3.30M 4s
[2024-12-06T20:30:36.472+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  5% 34.5M 4s
[2024-12-06T20:30:36.474+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  5% 73.1M 4s
[2024-12-06T20:30:36.475+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  5%  141M 4s
[2024-12-06T20:30:36.480+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  5% 96.2M 4s
[2024-12-06T20:30:36.482+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  6% 83.3M 4s
[2024-12-06T20:30:36.483+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  6%  101M 4s
[2024-12-06T20:30:36.485+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  6% 93.5M 4s
[2024-12-06T20:30:36.487+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  6% 44.0M 4s
[2024-12-06T20:30:36.487+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  6%  135M 4s
[2024-12-06T20:30:36.488+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  6% 94.5M 4s
[2024-12-06T20:30:36.489+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  6% 54.4M 4s
[2024-12-06T20:30:36.489+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  7%  152M 3s
[2024-12-06T20:30:36.490+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  7%  125M 3s
[2024-12-06T20:30:36.493+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  7% 75.7M 3s
[2024-12-06T20:30:36.494+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  7%  133M 3s
[2024-12-06T20:30:36.495+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  7% 84.3M 3s
[2024-12-06T20:30:36.499+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  7% 99.9M 3s
[2024-12-06T20:30:36.499+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  7% 95.8M 3s
[2024-12-06T20:30:36.500+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  7%  139M 3s
[2024-12-06T20:30:36.503+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  8%  101M 3s
[2024-12-06T20:30:36.504+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  8%  191M 3s
[2024-12-06T20:30:36.506+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  8%  111M 3s
[2024-12-06T20:30:36.507+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  8% 90.0M 3s
[2024-12-06T20:30:36.512+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  8% 66.3M 3s
[2024-12-06T20:30:36.513+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  8% 70.4M 3s
[2024-12-06T20:30:36.513+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  8%  122M 3s
[2024-12-06T20:30:36.513+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  8%  112M 3s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  9%  161M 3s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  9%  128M 3s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  9%  196M 3s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  9%  108M 3s
[2024-12-06T20:30:36.514+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  9%  107M 3s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  9%  134M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  9% 89.7M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... .......... 10%  104M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... .......... 10%  174M 2s
[2024-12-06T20:30:36.515+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... .......... 10% 76.0M 2s
[2024-12-06T20:30:36.516+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... .......... 10% 92.8M 2s
[2024-12-06T20:30:36.516+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... .......... 10%  128M 2s
[2024-12-06T20:30:36.516+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... .......... 10%  103M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... .......... 10%  139M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... .......... 10%  174M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... .......... 11%  274M 2s
[2024-12-06T20:30:36.517+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... .......... 11% 90.2M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... .......... 11%  141M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... .......... 11% 93.2M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... .......... 11%  176M 2s
[2024-12-06T20:30:36.518+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... .......... 11% 94.3M 2s
[2024-12-06T20:30:36.519+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... .......... 11%  201M 2s
[2024-12-06T20:30:36.519+0000] {subprocess.py:106} INFO -   4500K .......... .......... .......... .......... .......... 12%  188M 2s
[2024-12-06T20:30:36.520+0000] {subprocess.py:106} INFO -   4550K .......... .......... .......... .......... .......... 12%  105M 2s
[2024-12-06T20:30:36.520+0000] {subprocess.py:106} INFO -   4600K .......... .......... .......... .......... .......... 12%  147M 2s
[2024-12-06T20:30:36.521+0000] {subprocess.py:106} INFO -   4650K .......... .......... .......... .......... .......... 12% 31.1M 2s
[2024-12-06T20:30:36.522+0000] {subprocess.py:106} INFO -   4700K .......... .......... .......... .......... .......... 12%  111M 2s
[2024-12-06T20:30:36.524+0000] {subprocess.py:106} INFO -   4750K .......... .......... .......... .......... .......... 12%  101M 2s
[2024-12-06T20:30:36.524+0000] {subprocess.py:106} INFO -   4800K .......... .......... .......... .......... .......... 12% 69.4M 2s
[2024-12-06T20:30:36.525+0000] {subprocess.py:106} INFO -   4850K .......... .......... .......... .......... .......... 12% 49.2M 2s
[2024-12-06T20:30:36.525+0000] {subprocess.py:106} INFO -   4900K .......... .......... .......... .......... .......... 13%  128M 2s
[2024-12-06T20:30:36.525+0000] {subprocess.py:106} INFO -   4950K .......... .......... .......... .......... .......... 13% 39.1M 2s
[2024-12-06T20:30:36.526+0000] {subprocess.py:106} INFO -   5000K .......... .......... .......... .......... .......... 13% 55.6M 2s
[2024-12-06T20:30:36.526+0000] {subprocess.py:106} INFO -   5050K .......... .......... .......... .......... .......... 13% 44.4M 2s
[2024-12-06T20:30:36.526+0000] {subprocess.py:106} INFO -   5100K .......... .......... .......... .......... .......... 13% 49.2M 2s
[2024-12-06T20:30:36.527+0000] {subprocess.py:106} INFO -   5150K .......... .......... .......... .......... .......... 13% 53.6M 2s
[2024-12-06T20:30:36.527+0000] {subprocess.py:106} INFO -   5200K .......... .......... .......... .......... .......... 13%  252M 2s
[2024-12-06T20:30:36.527+0000] {subprocess.py:106} INFO -   5250K .......... .......... .......... .......... .......... 14%  191M 2s
[2024-12-06T20:30:36.528+0000] {subprocess.py:106} INFO -   5300K .......... .......... .......... .......... .......... 14%  111M 2s
[2024-12-06T20:30:36.528+0000] {subprocess.py:106} INFO -   5350K .......... .......... .......... .......... .......... 14%  158M 2s
[2024-12-06T20:30:36.528+0000] {subprocess.py:106} INFO -   5400K .......... .......... .......... .......... .......... 14% 91.6M 2s
[2024-12-06T20:30:36.529+0000] {subprocess.py:106} INFO -   5450K .......... .......... .......... .......... .......... 14%  158M 2s
[2024-12-06T20:30:36.529+0000] {subprocess.py:106} INFO -   5500K .......... .......... .......... .......... .......... 14% 79.2M 2s
[2024-12-06T20:30:36.530+0000] {subprocess.py:106} INFO -   5550K .......... .......... .......... .......... .......... 14% 65.2M 2s
[2024-12-06T20:30:36.531+0000] {subprocess.py:106} INFO -   5600K .......... .......... .......... .......... .......... 14%  116M 2s
[2024-12-06T20:30:36.531+0000] {subprocess.py:106} INFO -   5650K .......... .......... .......... .......... .......... 15%  130M 2s
[2024-12-06T20:30:36.532+0000] {subprocess.py:106} INFO -   5700K .......... .......... .......... .......... .......... 15% 67.8M 2s
[2024-12-06T20:30:36.532+0000] {subprocess.py:106} INFO -   5750K .......... .......... .......... .......... .......... 15% 78.8M 2s
[2024-12-06T20:30:36.533+0000] {subprocess.py:106} INFO -   5800K .......... .......... .......... .......... .......... 15%  136M 2s
[2024-12-06T20:30:36.535+0000] {subprocess.py:106} INFO -   5850K .......... .......... .......... .......... .......... 15% 56.2M 2s
[2024-12-06T20:30:36.536+0000] {subprocess.py:106} INFO -   5900K .......... .......... .......... .......... .......... 15% 71.7M 2s
[2024-12-06T20:30:36.537+0000] {subprocess.py:106} INFO -   5950K .......... .......... .......... .......... .......... 15%  308M 2s
[2024-12-06T20:30:36.538+0000] {subprocess.py:106} INFO -   6000K .......... .......... .......... .......... .......... 15%  242M 2s
[2024-12-06T20:30:36.538+0000] {subprocess.py:106} INFO -   6050K .......... .......... .......... .......... .......... 16%  186M 2s
[2024-12-06T20:30:36.539+0000] {subprocess.py:106} INFO -   6100K .......... .......... .......... .......... .......... 16% 76.9M 2s
[2024-12-06T20:30:36.540+0000] {subprocess.py:106} INFO -   6150K .......... .......... .......... .......... .......... 16% 82.9M 2s
[2024-12-06T20:30:36.540+0000] {subprocess.py:106} INFO -   6200K .......... .......... .......... .......... .......... 16%  226M 1s
[2024-12-06T20:30:36.540+0000] {subprocess.py:106} INFO -   6250K .......... .......... .......... .......... .......... 16%  272M 1s
[2024-12-06T20:30:36.540+0000] {subprocess.py:106} INFO -   6300K .......... .......... .......... .......... .......... 16%  236M 1s
[2024-12-06T20:30:36.540+0000] {subprocess.py:106} INFO -   6350K .......... .......... .......... .......... .......... 16%  293M 1s
[2024-12-06T20:30:36.541+0000] {subprocess.py:106} INFO -   6400K .......... .......... .......... .......... .......... 17%  310M 1s
[2024-12-06T20:30:36.541+0000] {subprocess.py:106} INFO -   6450K .......... .......... .......... .......... .......... 17%  227M 1s
[2024-12-06T20:30:36.541+0000] {subprocess.py:106} INFO -   6500K .......... .......... .......... .......... .......... 17%  316M 1s
[2024-12-06T20:30:36.541+0000] {subprocess.py:106} INFO -   6550K .......... .......... .......... .......... .......... 17%  302M 1s
[2024-12-06T20:30:36.542+0000] {subprocess.py:106} INFO -   6600K .......... .......... .......... .......... .......... 17%  311M 1s
[2024-12-06T20:30:36.542+0000] {subprocess.py:106} INFO -   6650K .......... .......... .......... .......... .......... 17% 3.68M 1s
[2024-12-06T20:30:36.542+0000] {subprocess.py:106} INFO -   6700K .......... .......... .......... .......... .......... 17% 25.8M 1s
[2024-12-06T20:30:36.542+0000] {subprocess.py:106} INFO -   6750K .......... .......... .......... .......... .......... 17%  113M 1s
[2024-12-06T20:30:36.542+0000] {subprocess.py:106} INFO -   6800K .......... .......... .......... .......... .......... 18%  199M 1s
[2024-12-06T20:30:36.543+0000] {subprocess.py:106} INFO -   6850K .......... .......... .......... .......... .......... 18%  119M 1s
[2024-12-06T20:30:36.543+0000] {subprocess.py:106} INFO -   6900K .......... .......... .......... .......... .......... 18%  133M 1s
[2024-12-06T20:30:36.543+0000] {subprocess.py:106} INFO -   6950K .......... .......... .......... .......... .......... 18%  209M 1s
[2024-12-06T20:30:36.543+0000] {subprocess.py:106} INFO -   7000K .......... .......... .......... .......... .......... 18%  128M 1s
[2024-12-06T20:30:36.543+0000] {subprocess.py:106} INFO -   7050K .......... .......... .......... .......... .......... 18% 25.3M 1s
[2024-12-06T20:30:36.544+0000] {subprocess.py:106} INFO -   7100K .......... .......... .......... .......... .......... 18% 95.3M 1s
[2024-12-06T20:30:36.544+0000] {subprocess.py:106} INFO -   7150K .......... .......... .......... .......... .......... 19%  175M 1s
