[2024-12-06T17:46:30.414+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-12-06T17:46:30.428+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:31.008+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [queued]>
[2024-12-06T17:46:31.010+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2024-12-06T17:46:31.034+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): wget> on 2021-09-02 06:00:00+00:00
[2024-12-06T17:46:31.044+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=2208) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-12-06T17:46:31.047+0000] {standard_task_runner.py:72} INFO - Started process 2213 to run task
[2024-12-06T17:46:31.048+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'LocalIngestionDag_v02', 'wget', 'scheduled__2021-09-02T06:00:00+00:00', '--job-id', '48', '--raw', '--subdir', 'DAGS_FOLDER/data_ingestion_local.py', '--cfg-path', '/tmp/tmp4ndnyonz']
[2024-12-06T17:46:31.053+0000] {standard_task_runner.py:105} INFO - Job 48: Subtask wget
[2024-12-06T17:46:31.161+0000] {task_command.py:467} INFO - Running <TaskInstance: LocalIngestionDag_v02.wget scheduled__2021-09-02T06:00:00+00:00 [running]> on host 39ecaeffba2c
[2024-12-06T17:46:31.992+0000] {subprocess.py:106} INFO -   1050K .......... .......... .......... .......... ..........  2%  145M 3s
[2024-12-06T17:46:31.993+0000] {subprocess.py:106} INFO -   1100K .......... .......... .......... .......... ..........  2%  163M 3s
[2024-12-06T17:46:31.999+0000] {subprocess.py:106} INFO -   1150K .......... .......... .......... .......... ..........  2% 7.37M 3s
[2024-12-06T17:46:32.002+0000] {subprocess.py:106} INFO -   1200K .......... .......... .......... .......... ..........  2% 15.4M 3s
[2024-12-06T17:46:32.003+0000] {subprocess.py:106} INFO -   1250K .......... .......... .......... .......... ..........  2%  209M 3s
[2024-12-06T17:46:32.004+0000] {subprocess.py:106} INFO -   1300K .......... .......... .......... .......... ..........  2%  217M 3s
[2024-12-06T17:46:32.004+0000] {subprocess.py:106} INFO -   1350K .......... .......... .......... .......... ..........  3%  227M 3s
[2024-12-06T17:46:32.007+0000] {subprocess.py:106} INFO -   1400K .......... .......... .......... .......... ..........  3%  255M 3s
[2024-12-06T17:46:32.008+0000] {subprocess.py:106} INFO -   1450K .......... .......... .......... .......... ..........  3%  206M 2s
[2024-12-06T17:46:32.009+0000] {subprocess.py:106} INFO -   1500K .......... .......... .......... .......... ..........  3% 78.2M 2s
[2024-12-06T17:46:32.009+0000] {subprocess.py:106} INFO -   1550K .......... .......... .......... .......... ..........  3% 71.4M 2s
[2024-12-06T17:46:32.010+0000] {subprocess.py:106} INFO -   1600K .......... .......... .......... .......... ..........  3%  221M 2s
[2024-12-06T17:46:32.010+0000] {subprocess.py:106} INFO -   1650K .......... .......... .......... .......... ..........  3%  241M 2s
[2024-12-06T17:46:32.010+0000] {subprocess.py:106} INFO -   1700K .......... .......... .......... .......... ..........  3%  108M 2s
[2024-12-06T17:46:32.011+0000] {subprocess.py:106} INFO -   1750K .......... .......... .......... .......... ..........  3%  171M 2s
[2024-12-06T17:46:32.011+0000] {subprocess.py:106} INFO -   1800K .......... .......... .......... .......... ..........  4%  182M 2s
[2024-12-06T17:46:32.011+0000] {subprocess.py:106} INFO -   1850K .......... .......... .......... .......... ..........  4% 86.6M 2s
[2024-12-06T17:46:32.011+0000] {subprocess.py:106} INFO -   1900K .......... .......... .......... .......... ..........  4%  102M 2s
[2024-12-06T17:46:32.012+0000] {subprocess.py:106} INFO -   1950K .......... .......... .......... .......... ..........  4% 99.3M 2s
[2024-12-06T17:46:32.012+0000] {subprocess.py:106} INFO -   2000K .......... .......... .......... .......... ..........  4% 57.8M 2s
[2024-12-06T17:46:32.012+0000] {subprocess.py:106} INFO -   2050K .......... .......... .......... .......... ..........  4%  158M 2s
[2024-12-06T17:46:32.012+0000] {subprocess.py:106} INFO -   2100K .......... .......... .......... .......... ..........  4% 80.8M 2s
[2024-12-06T17:46:32.012+0000] {subprocess.py:106} INFO -   2150K .......... .......... .......... .......... ..........  4%  111M 2s
[2024-12-06T17:46:32.013+0000] {subprocess.py:106} INFO -   2200K .......... .......... .......... .......... ..........  4% 64.3M 2s
[2024-12-06T17:46:32.036+0000] {subprocess.py:106} INFO -   2250K .......... .......... .......... .......... ..........  5% 1.89M 2s
[2024-12-06T17:46:32.037+0000] {subprocess.py:106} INFO -   2300K .......... .......... .......... .......... ..........  5% 59.0M 2s
[2024-12-06T17:46:32.040+0000] {subprocess.py:106} INFO -   2350K .......... .......... .......... .......... ..........  5%  152M 2s
[2024-12-06T17:46:32.041+0000] {subprocess.py:106} INFO -   2400K .......... .......... .......... .......... ..........  5%  137M 2s
[2024-12-06T17:46:32.042+0000] {subprocess.py:106} INFO -   2450K .......... .......... .......... .......... ..........  5%  184M 2s
[2024-12-06T17:46:32.042+0000] {subprocess.py:106} INFO -   2500K .......... .......... .......... .......... ..........  5%  140M 2s
[2024-12-06T17:46:32.044+0000] {subprocess.py:106} INFO -   2550K .......... .......... .......... .......... ..........  5%  150M 2s
[2024-12-06T17:46:32.045+0000] {subprocess.py:106} INFO -   2600K .......... .......... .......... .......... ..........  5%  175M 2s
[2024-12-06T17:46:32.046+0000] {subprocess.py:106} INFO -   2650K .......... .......... .......... .......... ..........  5%  212M 2s
[2024-12-06T17:46:32.046+0000] {subprocess.py:106} INFO -   2700K .......... .......... .......... .......... ..........  6%  130M 2s
[2024-12-06T17:46:32.047+0000] {subprocess.py:106} INFO -   2750K .......... .......... .......... .......... ..........  6%  105M 2s
[2024-12-06T17:46:32.049+0000] {subprocess.py:106} INFO -   2800K .......... .......... .......... .......... ..........  6%  106M 2s
[2024-12-06T17:46:32.049+0000] {subprocess.py:106} INFO -   2850K .......... .......... .......... .......... ..........  6% 11.5M 2s
[2024-12-06T17:46:32.050+0000] {subprocess.py:106} INFO -   2900K .......... .......... .......... .......... ..........  6% 54.7M 2s
[2024-12-06T17:46:32.050+0000] {subprocess.py:106} INFO -   2950K .......... .......... .......... .......... ..........  6%  108M 2s
[2024-12-06T17:46:32.051+0000] {subprocess.py:106} INFO -   3000K .......... .......... .......... .......... ..........  6%  142M 2s
[2024-12-06T17:46:32.051+0000] {subprocess.py:106} INFO -   3050K .......... .......... .......... .......... ..........  6% 79.4M 2s
[2024-12-06T17:46:32.052+0000] {subprocess.py:106} INFO -   3100K .......... .......... .......... .......... ..........  6%  100M 2s
[2024-12-06T17:46:32.052+0000] {subprocess.py:106} INFO -   3150K .......... .......... .......... .......... ..........  7%  241M 2s
[2024-12-06T17:46:32.052+0000] {subprocess.py:106} INFO -   3200K .......... .......... .......... .......... ..........  7%  196M 2s
[2024-12-06T17:46:32.052+0000] {subprocess.py:106} INFO -   3250K .......... .......... .......... .......... ..........  7% 93.5M 2s
[2024-12-06T17:46:32.053+0000] {subprocess.py:106} INFO -   3300K .......... .......... .......... .......... ..........  7% 36.2M 2s
[2024-12-06T17:46:32.053+0000] {subprocess.py:106} INFO -   3350K .......... .......... .......... .......... ..........  7%  157M 2s
[2024-12-06T17:46:32.053+0000] {subprocess.py:106} INFO -   3400K .......... .......... .......... .......... ..........  7% 79.7M 2s
[2024-12-06T17:46:32.053+0000] {subprocess.py:106} INFO -   3450K .......... .......... .......... .......... ..........  7%  134M 2s
[2024-12-06T17:46:32.053+0000] {subprocess.py:106} INFO -   3500K .......... .......... .......... .......... ..........  7% 91.4M 2s
[2024-12-06T17:46:32.062+0000] {subprocess.py:106} INFO -   3550K .......... .......... .......... .......... ..........  7% 4.69M 2s
[2024-12-06T17:46:32.096+0000] {subprocess.py:106} INFO -   3600K .......... .......... .......... .......... ..........  8% 1.45M 2s
[2024-12-06T17:46:32.097+0000] {subprocess.py:106} INFO -   3650K .......... .......... .......... .......... ..........  8% 33.0M 2s
[2024-12-06T17:46:32.099+0000] {subprocess.py:106} INFO -   3700K .......... .......... .......... .......... ..........  8% 38.4M 2s
[2024-12-06T17:46:32.100+0000] {subprocess.py:106} INFO -   3750K .......... .......... .......... .......... ..........  8% 67.5M 2s
[2024-12-06T17:46:32.102+0000] {subprocess.py:106} INFO -   3800K .......... .......... .......... .......... ..........  8% 17.4M 2s
[2024-12-06T17:46:32.103+0000] {subprocess.py:106} INFO -   3850K .......... .......... .......... .......... ..........  8% 62.5M 2s
[2024-12-06T17:46:32.104+0000] {subprocess.py:106} INFO -   3900K .......... .......... .......... .......... ..........  8% 98.7M 2s
[2024-12-06T17:46:32.106+0000] {subprocess.py:106} INFO -   3950K .......... .......... .......... .......... ..........  8% 26.3M 2s
[2024-12-06T17:46:32.108+0000] {subprocess.py:106} INFO -   4000K .......... .......... .......... .......... ..........  8%  256M 2s
[2024-12-06T17:46:32.110+0000] {subprocess.py:106} INFO -   4050K .......... .......... .......... .......... ..........  9% 91.3M 2s
[2024-12-06T17:46:32.114+0000] {subprocess.py:106} INFO -   4100K .......... .......... .......... .......... ..........  9%  167M 2s
[2024-12-06T17:46:32.115+0000] {subprocess.py:106} INFO -   4150K .......... .......... .......... .......... ..........  9%  120M 2s
[2024-12-06T17:46:32.119+0000] {subprocess.py:106} INFO -   4200K .......... .......... .......... .......... ..........  9%  118M 2s
[2024-12-06T17:46:32.121+0000] {subprocess.py:106} INFO -   4250K .......... .......... .......... .......... ..........  9%  130M 2s
[2024-12-06T17:46:32.124+0000] {subprocess.py:106} INFO -   4300K .......... .......... .......... .......... ..........  9% 45.8M 2s
[2024-12-06T17:46:32.126+0000] {subprocess.py:106} INFO -   4350K .......... .......... .......... .......... ..........  9%  114M 2s
[2024-12-06T17:46:32.128+0000] {subprocess.py:106} INFO -   4400K .......... .......... .......... .......... ..........  9% 90.4M 2s
[2024-12-06T17:46:32.131+0000] {subprocess.py:106} INFO -   4450K .......... .......... .......... .......... ..........  9% 97.0M 2s
